timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749075530430,336,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-103,text,true,,1268,190,23,23,https://api.clickup.com/api/v2/user,336,0,32
1749075530430,336,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-100,text,true,,1268,190,23,23,https://api.clickup.com/api/v2/user,336,0,33
1749075530430,336,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-110,text,true,,1268,190,23,23,https://api.clickup.com/api/v2/user,336,0,35
1749075530494,272,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-93,text,true,,1268,190,23,23,https://api.clickup.com/api/v2/user,272,0,23
1749075530521,245,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-97,text,true,,1268,190,23,23,https://api.clickup.com/api/v2/user,245,0,22
1749075529850,917,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-108,text,true,,1267,190,23,23,https://api.clickup.com/api/v2/user,916,0,24
1749075530528,239,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-96,text,true,,1268,190,23,23,https://api.clickup.com/api/v2/user,239,0,132
1749075530430,617,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-98,text,true,,1268,190,29,29,https://api.clickup.com/api/v2/user,617,0,31
1749075530538,523,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-109,text,true,,1267,190,29,29,https://api.clickup.com/api/v2/user,523,0,230
1749075530527,534,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-99,text,true,,1268,190,29,29,https://api.clickup.com/api/v2/user,534,0,251
1749075530542,519,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-107,text,true,,1268,190,29,29,https://api.clickup.com/api/v2/user,519,0,226
1749075530594,467,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-91,text,true,,1268,190,29,29,https://api.clickup.com/api/v2/user,467,0,312
1749075530546,515,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-95,text,true,,1268,190,29,29,https://api.clickup.com/api/v2/user,515,0,360
1749075530643,444,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-90,text,true,,1268,190,29,29,https://api.clickup.com/api/v2/user,444,0,371
1749075530693,397,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-89,text,true,,1268,190,29,29,https://api.clickup.com/api/v2/user,397,0,321
1749075530659,464,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-104,text,true,,1268,190,30,30,https://api.clickup.com/api/v2/user,464,0,390
1749075530743,380,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-88,text,true,,1268,190,30,30,https://api.clickup.com/api/v2/user,380,0,305
1749075530659,465,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-105,text,true,,1268,190,30,30,https://api.clickup.com/api/v2/user,465,0,389
1749075530767,376,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-96,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,376,0,296
1749075530659,485,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-106,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,485,0,405
1749075530766,380,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-93,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,380,0,296
1749075530766,384,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-97,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,384,0,296
1749075530547,608,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-101,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,608,0,516
1749075531047,110,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-98,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,110,0,35
1749075530766,394,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-100,text,true,,1267,190,31,31,https://api.clickup.com/api/v2/user,394,0,296
1749075530893,271,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-85,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,271,0,189
1749075530766,399,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-94,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,399,0,310
1749075530767,400,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-108,text,true,,1267,190,31,31,https://api.clickup.com/api/v2/user,400,0,296
1749075530766,402,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-110,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,402,0,296
1749075531061,108,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-99,text,true,,1267,190,31,31,https://api.clickup.com/api/v2/user,108,0,33
1749075531061,109,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-109,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,109,0,34
1749075530659,511,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-102,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,511,0,432
1749075531061,110,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-107,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,110,0,34
1749075531062,111,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-91,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,111,0,33
1749075530793,380,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-87,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,380,0,287
1749075530843,337,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-86,text,true,,1267,190,31,31,https://api.clickup.com/api/v2/user,337,0,239
1749075531087,95,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-90,text,true,,1266,190,31,31,https://api.clickup.com/api/v2/user,95,0,23
1749075530943,239,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-84,text,true,,1268,190,31,31,https://api.clickup.com/api/v2/user,239,0,138
1749075530993,196,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-83,text,true,,1267,190,31,31,https://api.clickup.com/api/v2/user,196,0,89
1749075531090,102,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-89,text,true,,1267,190,31,31,https://api.clickup.com/api/v2/user,102,0,25
1749075531043,155,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-82,text,true,,1268,190,32,32,https://api.clickup.com/api/v2/user,155,0,40
1749075530766,438,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-103,text,true,,1266,190,32,32,https://api.clickup.com/api/v2/user,438,0,296
1749075531130,93,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-105,text,true,,1267,190,32,32,https://api.clickup.com/api/v2/user,93,0,22
1749075531143,80,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-96,text,false,Test failed: code expected to contain /200/,1136,190,32,32,https://api.clickup.com/api/v2/user,80,0,25
1749075531144,80,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-106,text,false,Test failed: code expected to contain /200/,1136,190,32,32,https://api.clickup.com/api/v2/user,80,0,25
1749075531146,78,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-93,text,false,Test failed: code expected to contain /200/,1136,190,32,32,https://api.clickup.com/api/v2/user,78,0,24
1749075531130,94,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-88,text,true,,1267,190,32,32,https://api.clickup.com/api/v2/user,94,0,24
1749075531150,78,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-97,text,false,Test failed: code expected to contain /200/,1136,190,32,32,https://api.clickup.com/api/v2/user,78,0,25
1749075531092,143,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-81,text,false,Test failed: code expected to contain /200/,1136,190,32,32,https://api.clickup.com/api/v2/user,143,0,24
1749075531062,176,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-95,text,true,,1267,190,32,32,https://api.clickup.com/api/v2/user,176,0,31
1749075531130,108,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-104,text,true,,1267,190,32,32,https://api.clickup.com/api/v2/user,108,0,24
1749075531155,85,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-101,text,false,Test failed: code expected to contain /200/,1134,190,32,32,https://api.clickup.com/api/v2/user,85,0,27
1749075531157,85,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-98,text,false,Test failed: code expected to contain /200/,1135,190,32,32,https://api.clickup.com/api/v2/user,85,0,27
1749075531142,103,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-80,text,true,,1267,190,33,33,https://api.clickup.com/api/v2/user,103,0,22
1749075531160,89,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-100,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,89,0,31
1749075531165,90,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-94,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,90,0,30
1749075531170,86,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-109,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,86,0,31
1749075531167,89,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-108,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,89,0,30
1749075531169,87,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-99,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,87,0,32
1749075531168,93,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-110,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,93,0,32
1749075531170,91,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-102,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,91,0,32
1749075531171,90,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-107,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,90,0,32
1749075531173,90,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-91,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,90,0,33
1749075531183,80,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-84,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,80,0,30
1749075531183,84,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-90,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,84,0,29
1749075531193,82,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-79,text,false,Test failed: code expected to contain /200/,1135,190,33,33,https://api.clickup.com/api/v2/user,82,0,26
1749075531192,83,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-89,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,83,0,27
1749075531189,88,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-83,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,88,0,28
1749075531173,106,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-87,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,106,0,33
1749075531198,81,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-82,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,81,0,24
1749075531180,105,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-86,text,false,Test failed: code expected to contain /200/,1136,190,33,33,https://api.clickup.com/api/v2/user,105,0,30
1749075531224,82,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-93,text,false,Test failed: code expected to contain /200/,1136,190,34,34,https://api.clickup.com/api/v2/user,82,0,29
1749075531223,83,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-105,text,false,Test failed: code expected to contain /200/,1136,190,34,34,https://api.clickup.com/api/v2/user,83,0,28
1749075531224,84,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-106,text,false,Test failed: code expected to contain /200/,1136,190,34,34,https://api.clickup.com/api/v2/user,84,0,29
1749075531223,86,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-96,text,false,Test failed: code expected to contain /200/,1136,190,34,34,https://api.clickup.com/api/v2/user,86,0,28
1749075531228,82,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 1-97,text,false,Test failed: code expected to contain /200/,1136,190,34,34,https://api.clickup.com/api/v2/user,82,0,28
